Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
409,OPEN,,No,59,0,761,0,0,Offered_IN_OPEN_QUOTA
410,OPEN,,No,51,0,697,0,0,Not Offered
411,Bahawalpur,,No,50,0,562,0,0,Not Offered
412,OPEN,,No,43,0,690,0,0,Not Offered
413,OPEN,,No,54,0,672,0,0,Not Offered
414,OPEN,,No,69,0,859,0,0,Offered_IN_OPEN_QUOTA
415,OPEN,,No,57,0,609,0,0,Not Offered
416,OPEN,,No,50,0,706,0,0,Not Offered
417,OPEN,,No,44,0,845,0,0,Offered_IN_OPEN_QUOTA
418,OPEN,,No,42,0,644,0,0,Not Offered
419,OPEN,,No,60,0,866,0,0,Offered_IN_OPEN_QUOTA
420,OPEN,,No,58,0,728,0,0,Not Offered
421,OPEN,,No,67,0,682,0,0,Not Offered
422,OPEN,,No,73,0,891,0,0,Offered_IN_OPEN_QUOTA
423,OPEN,,No,58,0,722,0,0,Not Offered
424,OPEN,,No,0,0,712,0,0,Not Offered
425,Bahawalpur,,No,49,0,877,0,0,Offered_IN_OPEN_QUOTA
426,Bahawalpur,,No,46,0,805,0,0,Offered_IN_BWP_QUOTA
427,OPEN,,No,40,0,846,0,0,Offered_IN_OPEN_QUOTA
